공정,설비타입,설비코드,설비명,ERP I/F 여부,Work Center,가동현황,순간정지 발생,설비고장,Total,기종교체,기종교체(자동)(Count-가동),자재문제,작업준비,작업준비(자동)(Count-가동),품질문제,공정별특성유실,IDLE,Total,MTBI(분),순간정지시간(분),설비고장시간(분),Total(분),기종교체시간(분),기종교체(자동)시간(분),자재문제시간(분),작업준비시간(분),작업준비(자동)시간(분),품질문제시간(분),공정별특성유실시간(분),IDLETime(분),Total(분),MTBI2(분),CutoffDay
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1243.77,72,0,72,0,0,0,10,0,0,0,0,10,17.27,96.67,0,96.67,0,0,0,64.63,0,0,0,0,64.63,15.17,2022-01-01
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1286.5,75,0,75,0,0,0,6,0,0,0,0,6,17.15,96.82,0,96.82,0,0,0,23.17,0,0,0,0,23.17,15.88,2022-01-02
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1157.43,119,0,119,0,0,0,10,0,0,0,0,10,9.73,151,0,151,0,0,0,80.52,0,0,0,0,80.52,8.97,2022-01-03
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1246.02,30,0,30,0,0,0,9,0,0,0,0,9,41.53,83.67,0,83.67,0,0,0,53.67,0,0,0,0,53.67,31.95,2022-01-04
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1037.78,74,0,74,0,0,0,5,0,0,0,0,5,14.02,288.15,0,288.15,0,0,0,71.22,0,0,0,0,71.22,13.14,2022-01-05
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1196.68,99,0,99,0,0,0,10,0,0,0,0,10,12.09,108.03,0,108.03,0,0,0,65.63,0,0,0,0,65.63,10.98,2022-01-06
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1194.72,51,0,51,0,0,0,10,0,0,0,0,10,23.43,59.62,0,59.62,0,0,0,95.2,0,0,0,0,95.2,19.59,2022-01-07
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1236.53,73,0,73,0,0,0,5,0,0,0,0,5,16.94,108.25,0,108.25,0,0,0,34.93,0,0,0,0,34.93,15.85,2022-01-08
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1217.38,48,0,48,0,0,0,6,0,0,0,0,6,25.36,92.55,0,92.55,0,0,0,76.93,0,0,0,0,76.93,22.54,2022-01-09
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1270.6,45,0,45,0,0,0,11,0,0,0,0,11,28.24,67.52,0,67.52,0,0,0,75.45,0,0,0,0,75.45,22.69,2022-01-10
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1205.5,48,0,48,0,0,0,11,0,0,0,0,11,25.11,107.15,0,107.15,0,0,0,58.3,0,0,0,0,58.3,20.43,2022-01-11
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1227.75,25,0,25,0,0,0,8,0,0,0,0,8,49.11,52,0,52,0,0,0,87.5,0,0,0,0,87.5,37.2,2022-01-12
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1268.87,24,0,24,0,0,0,8,0,0,0,0,8,52.87,47.88,0,47.88,0,0,0,86.05,0,0,0,0,86.05,39.65,2022-01-13
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,523.87,9,0,9,0,0,0,5,0,0,0,0,5,58.21,15.82,0,15.82,0,0,0,59.77,0,0,0,0,59.77,37.42,2022-01-14
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,374.8,51,0,51,0,0,0,3,0,0,0,0,3,7.35,158.47,0,158.47,0,0,0,32.22,0,0,0,0,32.22,6.94,2022-01-15
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1213.7,81,0,81,0,0,0,8,0,0,0,0,8,14.98,138.85,0,138.85,0,0,0,76.13,0,0,0,0,76.13,13.64,2022-01-16
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1173.8,39,0,39,0,0,0,9,0,0,0,0,9,30.1,139.73,0,139.73,0,0,0,112.13,0,0,0,0,112.13,24.45,2022-01-17
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1285.05,32,0,32,0,0,0,10,0,0,0,0,10,40.16,32.43,0,32.43,0,0,0,77.97,0,0,0,0,77.97,30.6,2022-01-18
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1098.68,94,0,94,0,0,0,9,0,0,0,0,9,11.69,210.43,0,210.43,0,0,0,47.23,0,0,0,0,47.23,10.67,2022-01-19
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1020.63,77,0,77,0,0,0,11,0,0,0,0,11,13.25,148.28,0,148.28,0,0,0,91.63,0,0,0,0,91.63,11.6,2022-01-20
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1205.03,83,0,83,0,0,0,6,0,0,0,0,6,14.52,131.58,0,131.58,0,0,0,43.98,0,0,0,0,43.98,13.54,2022-01-21
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,750.92,68,0,68,0,0,0,4,0,0,0,0,4,11.04,188.3,0,188.3,0,0,0,35.17,0,0,0,0,35.17,10.43,2022-01-22
절단 대공정(MF),MF 확장 마운터기,E2100752,MFS02 - MF 확장 마운터기,POSSIBLE,MLCC020,1058.78,97,0,97,0,0,0,9,0,0,0,0,9,10.92,233.15,0,233.15,0,0,0,104.97,0,0,0,0,104.97,9.99,2022-01-23
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1099.8,168,0,168,0,0,0,6,0,0,0,0,6,6.55,251.1,0,251.1,0,0,0,32.73,0,0,0,0,32.73,6.32,2022-01-01
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1089.15,204,0,204,0,0,0,9,0,0,0,0,9,5.34,225.93,0,225.93,0,0,0,45.53,0,0,0,0,45.53,5.11,2022-01-02
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1192.82,107,0,107,0,0,0,8,0,0,0,0,8,11.15,149.1,0,149.1,0,0,0,73.17,0,0,0,0,73.17,10.37,2022-01-03
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1027.72,140,0,140,0,0,0,5,0,0,0,0,5,7.34,310.23,0,310.23,0,0,0,26.82,0,0,0,0,26.82,7.09,2022-01-04
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1008.08,104,0,104,0,0,0,8,0,0,0,0,8,9.69,255.12,0,255.12,0,0,0,73.93,0,0,0,0,73.93,9,2022-01-05
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1076.78,127,0,127,0,0,0,6,0,0,0,0,6,8.48,167.52,0,167.52,0,0,0,83.82,0,0,0,0,83.82,8.1,2022-01-06
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1087.52,132,0,132,0,0,0,7,0,0,0,0,7,8.24,174.2,0,174.2,0,0,0,80.17,0,0,0,0,80.17,7.82,2022-01-07
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1186.27,92,0,92,0,0,0,7,0,0,0,0,7,12.89,140.23,0,140.23,0,0,0,44.5,0,0,0,0,44.5,11.98,2022-01-08
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1169.08,86,0,86,0,0,0,9,0,0,0,0,9,13.59,117.95,0,117.95,0,0,0,93.57,0,0,0,0,93.57,12.31,2022-01-09
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1136.1,115,0,115,0,0,0,10,0,0,0,0,10,9.88,145.9,0,145.9,0,0,0,127.32,0,0,0,0,127.32,9.09,2022-01-10
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1215.02,60,0,60,0,0,0,6,0,0,0,0,6,20.25,111.27,0,111.27,0,0,0,36.42,0,0,0,0,36.42,18.41,2022-01-11
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1049.6,154,0,154,0,0,0,7,0,0,0,0,7,6.82,210.73,0,210.73,0,0,0,79.5,0,0,0,0,79.5,6.52,2022-01-12
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,675.33,38,0,38,0,0,0,5,0,0,0,0,5,17.77,90.63,0,90.63,0,0,0,30.37,0,0,0,0,30.37,15.71,2022-01-13
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,403.3,17,0,17,0,0,0,2,0,0,0,1,3,23.72,23.37,0,23.37,0,0,0,630.38,0,0,0,3.02,633.4,20.17,2022-01-14
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,968.73,123,0,123,0,0,0,11,0,0,0,0,11,7.88,239.75,0,239.75,0,0,0,85.03,0,0,0,0,85.03,7.23,2022-01-15
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1244.65,54,0,54,0,0,0,12,0,0,0,0,12,23.05,95.75,0,95.75,0,0,0,88.25,0,0,0,0,88.25,18.86,2022-01-16
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1154.35,48,0,48,0,0,0,12,0,0,0,0,12,24.05,163.63,0,163.63,0,0,0,85.23,0,0,0,0,85.23,19.24,2022-01-17
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1194.6,76,0,76,0,0,0,7,0,0,0,0,7,15.72,129.25,0,129.25,0,0,0,50.48,0,0,0,0,50.48,14.39,2022-01-18
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1141.92,69,0,69,0,0,0,11,0,0,0,0,11,16.55,126.43,0,126.43,0,0,0,118.8,0,0,0,0,118.8,14.27,2022-01-19
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1020.18,57,0,57,0,0,0,6,0,0,0,0,6,17.9,110.95,0,110.95,0,0,0,255.08,0,0,0,0,255.08,16.19,2022-01-20
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1259.93,37,0,37,0,0,0,8,0,0,0,0,8,34.05,52.78,0,52.78,0,0,0,63.38,0,0,0,0,63.38,28,2022-01-21
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,823.88,30,0,30,0,0,0,6,0,0,0,0,6,27.46,100.2,0,100.2,0,0,0,39.83,0,0,0,0,39.83,22.89,2022-01-22
절단 대공정(MF),MF 확장 마운터기,E2100753,MFS03 - MF 확장 마운터기,POSSIBLE,MLCC020,1152.28,59,0,59,0,0,0,8,0,0,0,0,8,19.53,169.43,0,169.43,0,0,0,116.05,0,0,0,0,116.05,17.2,2022-01-23
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1175.23,60,0,60,0,0,0,10,0,0,0,0,10,19.59,148.97,0,148.97,0,0,0,74.58,0,0,0,0,74.58,16.79,2022-01-01
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1266.43,79,0,79,0,0,0,5,0,0,0,0,5,16.03,104.87,0,104.87,0,0,0,25.43,0,0,0,0,25.43,15.08,2022-01-02
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1287.77,35,0,35,0,0,0,8,0,0,0,0,8,36.79,62.37,0,62.37,0,0,0,41.62,0,0,0,0,41.62,29.95,2022-01-03
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1210.05,34,0,34,0,0,0,6,0,0,0,0,6,35.59,90.53,0,90.53,0,0,0,90.48,0,0,0,0,90.48,30.25,2022-01-04
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1211.8,53,0,53,0,0,0,7,0,0,0,0,7,22.86,134.15,0,134.15,0,0,0,41.7,0,0,0,0,41.7,20.2,2022-01-05
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1291.97,43,0,43,0,0,0,6,0,0,0,0,6,30.05,66.62,0,66.62,0,0,0,39.98,0,0,0,0,39.98,26.37,2022-01-06
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1206.53,82,0,82,0,0,0,6,0,0,0,0,6,14.71,105.43,0,105.43,0,0,0,48.33,0,0,0,0,48.33,13.71,2022-01-07
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1196.82,83,0,83,0,0,0,12,0,0,0,0,12,14.42,116.45,0,116.45,0,0,0,55.75,0,0,0,0,55.75,12.6,2022-01-08
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1204.5,70,0,70,0,0,0,7,0,0,0,0,7,17.21,95.98,0,95.98,0,0,0,66.95,0,0,0,0,66.95,15.64,2022-01-09
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1191.42,105,0,105,0,0,0,6,0,0,0,0,6,11.35,177.35,0,177.35,0,0,0,56.75,0,0,0,0,56.75,10.73,2022-01-10
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1144.77,72,0,72,0,0,0,6,0,0,0,0,6,15.9,186.97,0,186.97,0,0,0,38.58,0,0,0,0,38.58,14.68,2022-01-11
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1238.95,44,0,44,0,0,0,8,0,0,0,0,8,28.16,51.23,0,51.23,0,0,0,104.13,0,0,0,0,104.13,23.83,2022-01-12
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1166.8,45,0,45,0,0,0,6,0,0,0,0,6,25.93,61.15,0,61.15,0,0,0,77.3,0,0,0,0,77.3,22.88,2022-01-13
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,890.57,14,0,14,0,0,0,6,0,0,0,0,6,63.61,36.5,0,36.5,0,0,0,131.28,0,0,0,0,131.28,44.53,2022-01-14
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1101.2,113,0,113,0,0,0,10,0,0,0,0,10,9.75,221.8,0,221.8,0,0,0,75.97,0,0,0,0,75.97,8.95,2022-01-15
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1219.98,85,0,85,0,0,0,8,0,0,0,0,8,14.35,131.67,0,131.67,0,0,0,78.28,0,0,0,0,78.28,13.12,2022-01-16
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1141.8,45,0,45,0,0,0,11,0,0,0,1,12,25.37,128.93,0,128.93,0,0,0,153.87,0,0,0,3,156.87,20.03,2022-01-17
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1210.45,43,0,43,0,0,0,9,0,0,0,0,9,28.15,92.18,0,92.18,0,0,0,67.2,0,0,0,0,67.2,23.28,2022-01-18
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1089.45,97,0,97,0,0,0,6,0,0,0,0,6,11.23,249.42,0,249.42,0,0,0,41.32,0,0,0,0,41.32,10.58,2022-01-19
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1012.67,103,0,103,0,0,0,6,0,0,0,0,6,9.83,209.83,0,209.83,0,0,0,34.62,0,0,0,0,34.62,9.29,2022-01-20
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1158.97,142,0,142,0,0,0,8,0,0,0,0,8,8.16,164.83,0,164.83,0,0,0,51.57,0,0,0,0,51.57,7.73,2022-01-21
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,695.7,45,0,45,0,0,0,5,0,0,0,0,5,15.46,105.4,0,105.4,0,0,0,62,0,0,0,0,62,13.91,2022-01-22
절단 대공정(MF),MF 확장 마운터기,E2100754,MFS04 - MF 확장 마운터기,POSSIBLE,MLCC020,1088.9,125,0,125,0,0,0,6,0,0,0,0,6,8.71,295.13,0,295.13,0,0,0,42.93,0,0,0,0,42.93,8.31,2022-01-23
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1239.22,67,0,67,0,0,0,7,0,0,0,0,7,18.5,104.35,0,104.35,0,0,0,61.17,0,0,0,0,61.17,16.75,2022-01-01
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1218.9,92,0,92,0,0,0,7,0,0,0,0,7,13.25,134.65,0,134.65,0,0,0,49.58,0,0,0,0,49.58,12.31,2022-01-02
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1181.03,95,0,95,0,0,0,8,0,0,0,0,8,12.43,148.92,0,148.92,0,0,0,98.47,0,0,0,0,98.47,11.47,2022-01-03
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1204.12,49,0,49,0,0,0,6,0,0,0,0,6,24.57,85.88,0,85.88,0,0,0,56.47,0,0,0,0,56.47,21.89,2022-01-04
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1149.3,90,0,90,0,0,0,7,0,0,0,0,7,12.77,174.2,0,174.2,0,0,0,57.02,0,0,0,0,57.02,11.85,2022-01-05
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1062.92,141,0,141,0,0,0,7,0,0,0,0,7,7.54,245.9,0,245.9,0,0,0,78.48,0,0,0,0,78.48,7.18,2022-01-06
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1107.83,91,0,91,0,0,0,7,0,0,0,0,7,12.17,138.48,0,138.48,0,0,0,87.5,0,0,0,0,87.5,11.3,2022-01-07
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1221.12,76,0,76,0,0,0,7,0,0,0,0,7,16.07,106.17,0,106.17,0,0,0,41.9,0,0,0,0,41.9,14.71,2022-01-08
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1196.23,52,0,52,0,0,0,10,0,0,0,0,10,23,52.3,0,52.3,0,0,0,88.02,0,0,0,0,88.02,19.29,2022-01-09
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1153.73,169,0,169,0,0,0,7,0,0,0,0,7,6.83,228.2,0,228.2,0,0,0,30.48,0,0,0,0,30.48,6.56,2022-01-10
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1153.88,88,0,88,0,0,0,7,0,0,0,0,7,13.11,167.07,0,167.07,0,0,0,53.88,0,0,0,0,53.88,12.15,2022-01-11
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1209.1,82,0,82,0,0,0,8,0,0,0,0,8,14.75,81.55,0,81.55,0,0,0,91.67,0,0,0,0,91.67,13.43,2022-01-12
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1176.43,96,0,96,0,0,0,7,0,0,0,0,7,12.25,150.45,0,150.45,0,0,0,50.72,0,0,0,0,50.72,11.42,2022-01-13
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,760.1,49,0,49,0,0,0,6,0,0,0,0,6,15.51,89.48,0,89.48,0,0,0,579.33,0,0,0,0,579.33,13.82,2022-01-14
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1086.62,86,0,86,0,0,0,14,0,0,0,0,14,12.64,139.75,0,139.75,0,0,0,126.27,0,0,0,0,126.27,10.87,2022-01-15
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1132.17,121,0,121,0,0,0,12,0,0,0,0,12,9.36,216.1,0,216.1,0,0,0,59.32,0,0,0,0,59.32,8.51,2022-01-16
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1092.62,60,0,60,0,0,0,12,0,0,0,0,12,18.21,125,0,125,0,0,0,194.97,0,0,0,0,194.97,15.18,2022-01-17
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1223.08,72,0,72,0,0,0,9,0,0,0,0,9,16.99,118.58,0,118.58,0,0,0,44.92,0,0,0,0,44.92,15.1,2022-01-18
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,783.78,248,0,248,0,0,0,8,0,0,0,0,8,3.16,431.25,0,431.25,0,0,0,91.5,0,0,0,0,91.5,3.06,2022-01-19
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1039.1,103,0,103,0,0,0,5,0,0,0,0,5,10.09,115.22,0,115.22,0,0,0,96.82,0,0,0,0,96.82,9.62,2022-01-20
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1146.25,137,0,137,0,0,0,8,0,0,0,0,8,8.37,184.28,0,184.28,0,0,0,42.88,0,0,0,0,42.88,7.91,2022-01-21
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,664.53,139,0,139,0,0,0,5,0,0,0,0,5,4.78,298.35,0,298.35,0,0,0,40.2,0,0,0,0,40.2,4.61,2022-01-22
절단 대공정(MF),MF 확장 마운터기,E2100755,MFS05 - MF 확장 마운터기,POSSIBLE,MLCC020,1015.07,173,0,173,0,0,0,13,0,0,0,0,13,5.87,281.63,0,281.63,0,0,0,96,0,0,0,0,96,5.46,2022-01-23
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1224.18,70,0,70,0,0,0,7,0,0,0,0,7,17.49,80.6,0,80.6,0,0,0,89.25,0,0,0,0,89.25,15.9,2022-01-01
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1229.23,83,0,83,0,0,0,8,0,0,0,0,8,14.81,117.87,0,117.87,0,0,0,46.28,0,0,0,0,46.28,13.51,2022-01-02
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1197.7,112,0,112,0,0,0,7,0,0,0,0,7,10.69,165.4,0,165.4,0,0,0,24.98,0,0,0,0,24.98,10.06,2022-01-03
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1222.35,44,0,44,0,0,0,7,0,0,0,0,7,27.78,74,0,74,0,0,0,69.15,0,0,0,0,69.15,23.97,2022-01-04
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1067.67,103,0,103,0,0,0,10,0,0,0,0,10,10.37,254.65,0,254.65,0,0,0,89.3,0,0,0,0,89.3,9.45,2022-01-05
절단 대공정(MF),MF 확장 마운터기,E2100756,MFS06 - MF 확장 마운터기,POSSIBLE,MLCC020,1109.58,120,0,120,0,0,0,9,0,0,0,0,9,9.25,124.72,0,124.72,0,0,0,76,0,0,0,0,76,8.6,2022-01-06
